Contour                                                   ,Clip                           ,SNR_Vertical ,SNR_Horizontal
pc_20170728_034759_ch3_sel_27_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_27.wav ,17.1259      ,16.5705
pc_20170728_034759_ch3_sel_28_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_28.wav ,16.3331      ,16.1957
pc_20170728_034759_ch3_sel_29_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_29.wav ,11.5197      ,19.8804
pc_20170728_034759_ch3_sel_38_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_38.wav ,10.6719      ,16.1612
pc_20170728_034759_ch3_sel_39_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_39.wav ,10.0287      ,14.9605
pc_20170728_034759_ch3_sel_43_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_43.wav ,13.0474      ,10.0817
pc_20170728_034759_ch3_sel_62_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_62.wav ,5.4355       ,4.8891
pc_20170728_034759_ch3_sel_65_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_65.wav ,2.2516       ,5.0601
pc_20170728_034759_ch3_sel_66_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_66.wav ,5.7695       ,3.2656
pc_20170728_034759_ch3_sel_69_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_69.wav ,11.206       ,8.8047
pc_20170728_034759_ch3_sel_74_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_74.wav ,4.8246       ,6.3342
pc_20170728_034759_ch3_sel_76_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_76.wav ,4.9885       ,5.6424
pc_20170728_034759_ch3_sel_86_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_86.wav ,4.4535       ,8.983
pc_20170728_034759_ch3_sel_88_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_88.wav ,6.3876       ,9.4247
pc_20170728_034759_ch3_sel_90_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_90.wav ,10.0563      ,13.1575
pc_20170728_034759_ch3_sel_91_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_91.wav ,3.5534       ,9.8183
pc_20170728_034759_ch3_sel_92_Sette_AC_101_Hawaii.csv     ,20170728_034759_ch3_sel_92.wav ,1.6297       ,5.8871
pc_20170728_034959_ch3_sel_01_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_01.wav ,5.2171       ,10.7361
pc_20170728_034959_ch3_sel_02_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_02.wav ,1.1123       ,14.7113
pc_20170728_034959_ch3_sel_06_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_06.wav ,5.55         ,10.4365
pc_20170728_034959_ch3_sel_07_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_07.wav ,3.5694       ,14.5309
pc_20170728_034959_ch3_sel_08_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_08.wav ,1.3768       ,1.8736
pc_20170728_034959_ch3_sel_09_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_09.wav ,15.5504      ,15.1444
pc_20170728_034959_ch3_sel_10_Sette_AC_101_Hawaii.csv     ,20170728_034959_ch3_sel_10.wav ,15.3092      ,13.2205
